COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,MARKER_HARDWARE,SYNC,TIME_STAMP_s,TIME_STAMP_ms,TimeStamp,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
6.000000, 0.000000, 4201.025391, 4177.948730, 4182.563965, 4196.922852, 4202.563965, 4186.153809, 4203.589844, 4189.230469, 4209.230469, 4192.307617, 4245.641113, 4218.974121, 4207.179199, 4223.076660, 3446.000000, 8210.000000, 8179.000000, 1.000000, 20.000000, 0.000000, 0.000000, 0.000000, 1553917554.504076, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
7.000000, 0.000000, 4202.051270, 4176.410156, 4189.743652, 4195.384277, 4183.589844, 4202.563965, 4197.436035, 4183.076660, 4207.179199, 4193.846191, 4246.153809, 4229.743652, 4211.794922, 4226.153809, 3367.000000, 8208.000000, 8178.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.900000, 1553917554.511976, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
8.000000, 0.000000, 4217.948730, 4196.922852, 4201.538574, 4209.230469, 4191.281738, 4187.179199, 4202.563965, 4188.205078, 4213.333008, 4196.410156, 4257.948730, 4236.922852, 4227.692383, 4238.461426, 3078.000000, 8208.000000, 8178.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.700001, 1553917554.519776, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
9.000000, 0.000000, 4217.436035, 4201.025391, 4201.025391, 4210.256348, 4205.127930, 4187.692383, 4191.794922, 4182.051270, 4206.153809, 4188.205078, 4254.871582, 4231.794922, 4224.615234, 4234.871582, 4181.000000, 8213.000000, 8170.000000, 0.000000, 0.000000, 0.000000, 0.000000, 23.700001, 1553917554.527776, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
10.000000, 0.000000, 4201.538574, 4182.051270, 4185.641113, 4194.871582, 4203.589844, 4195.384277, 4176.922852, 4167.179199, 4192.307617, 4179.487305, 4241.538574, 4220.512695, 4209.743652, 4219.487305, 3552.000000, 8213.000000, 8170.000000, 0.000000, 0.000000, 0.000000, 0.000000, 31.500000, 1553917554.535576, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
11.000000, 0.000000, 4216.922852, 4198.461426, 4194.358887, 4207.692383, 4209.743652, 4183.076660, 4193.846191, 4186.666504, 4207.179199, 4197.436035, 4259.487305, 4228.717773, 4228.205078, 4234.358887, 3442.000000, 8217.000000, 8173.000000, 0.000000, 0.000000, 0.000000, 0.000000, 39.500000, 1553917554.543576, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
12.000000, 0.000000, 4208.717773, 4191.794922, 4197.436035, 4204.102539, 4186.666504, 4196.922852, 4189.230469, 4185.641113, 4202.051270, 4185.127930, 4254.871582, 4232.307617, 4214.358887, 4227.692383, 3546.000000, 8217.000000, 8173.000000, 0.000000, 0.000000, 0.000000, 0.000000, 47.200001, 1553917554.551276, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
13.000000, 0.000000, 4205.641113, 4184.615234, 4193.846191, 4202.051270, 4188.205078, 4185.641113, 4194.358887, 4188.717773, 4204.615234, 4180.512695, 4254.871582, 4232.307617, 4207.179199, 4226.153809, 3021.000000, 8220.000000, 8174.000000, 0.000000, 0.000000, 0.000000, 0.000000, 55.200001, 1553917554.559276, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
14.000000, 0.000000, 4210.769043, 4189.743652, 4195.897461, 4203.076660, 4201.025391, 4187.692383, 4205.127930, 4198.461426, 4215.897461, 4188.717773, 4262.563965, 4238.974121, 4213.846191, 4232.820313, 3552.000000, 8220.000000, 8174.000000, 0.000000, 0.000000, 0.000000, 0.000000, 62.999996, 1553917554.567076, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
15.000000, 0.000000, 4201.025391, 4184.615234, 4186.153809, 4194.358887, 4193.846191, 4198.974121, 4204.615234, 4192.307617, 4207.179199, 4171.794922, 4256.410156, 4231.794922, 4196.922852, 4221.025391, 3442.000000, 8223.000000, 8177.000000, 0.000000, 0.000000, 0.000000, 0.000000, 70.999996, 1553917554.575076, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
16.000000, 0.000000, 4201.538574, 4185.641113, 4181.538574, 4198.461426, 4203.589844, 4182.563965, 4220.000000, 4203.589844, 4211.281738, 4165.641113, 4258.461426, 4227.179199, 4191.794922, 4219.487305, 0.000000, 8223.000000, 8177.000000, 0.000000, 0.000000, 0.000000, 0.000000, 78.799999, 1553917554.582876, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
17.000000, 0.000000, 4183.076660, 4163.076660, 4171.794922, 4183.076660, 4191.794922, 4192.820313, 4211.281738, 4197.948730, 4208.717773, 4152.307617, 4233.333008, 4218.461426, 4175.897461, 4206.666504, 0.000000, 8210.000000, 8176.000000, 0.000000, 0.000000, 0.000000, 0.000000, 86.700001, 1553917554.590776, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
