COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,MARKER_HARDWARE,SYNC,TIME_STAMP_s,TIME_STAMP_ms,TimeStamp,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
30.000000, 0.000000, 4199.487305, 4203.589844, 4197.436035, 4205.127930, 4204.102539, 4167.692383, 4187.692383, 4197.948730, 4195.897461, 4200.000000, 4203.076660, 4183.076660, 4175.384277, 4195.384277, 0.000000, 8217.000000, 8172.000000, 1.000000, 34.000000, 0.000000, 0.000000, 0.000000, 1553918131.653476, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
31.000000, 0.000000, 4210.769043, 4205.127930, 4190.769043, 4202.563965, 4206.666504, 4191.281738, 4186.666504, 4198.974121, 4204.102539, 4207.692383, 4207.179199, 4202.563965, 4196.410156, 4204.102539, 0.000000, 8215.000000, 8170.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.000000, 1553918131.661476, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
32.000000, 0.000000, 4211.794922, 4206.153809, 4193.846191, 4202.563965, 4200.512695, 4189.743652, 4183.076660, 4191.281738, 4203.589844, 4207.692383, 4200.512695, 4204.102539, 4194.358887, 4202.563965, 0.000000, 8215.000000, 8170.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.799988, 1553918131.669276, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
33.000000, 0.000000, 4204.615234, 4209.743652, 4196.922852, 4208.205078, 4198.461426, 4177.436035, 4191.794922, 4193.333008, 4191.281738, 4175.897461, 4195.897461, 4186.153809, 4186.666504, 4198.461426, 0.000000, 8220.000000, 8173.000000, 0.000000, 0.000000, 0.000000, 0.000000, 23.699997, 1553918131.677176, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
34.000000, 0.000000, 4191.281738, 4187.692383, 4179.487305, 4188.205078, 4187.179199, 4198.461426, 4189.743652, 4191.281738, 4195.384277, 4194.871582, 4196.922852, 4210.769043, 4176.410156, 4198.974121, 0.000000, 8220.000000, 8173.000000, 0.000000, 0.000000, 0.000000, 0.000000, 31.500000, 1553918131.684976, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
35.000000, 0.000000, 4188.205078, 4178.461426, 4175.384277, 4176.922852, 4185.641113, 4175.384277, 4187.179199, 4179.487305, 4180.000000, 4172.820313, 4177.436035, 4177.436035, 4163.589844, 4194.871582, 0.000000, 8217.000000, 8170.000000, 0.000000, 0.000000, 0.000000, 0.000000, 39.500000, 1553918131.692976, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
36.000000, 0.000000, 4193.846191, 4189.743652, 4190.769043, 4189.743652, 4192.820313, 4191.281738, 4195.384277, 4188.205078, 4188.205078, 4173.846191, 4189.743652, 4199.487305, 4169.230469, 4207.179199, 0.000000, 8217.000000, 8170.000000, 0.000000, 0.000000, 0.000000, 0.000000, 47.299988, 1553918131.700776, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
37.000000, 0.000000, 4189.230469, 4193.846191, 4198.974121, 4200.512695, 4193.333008, 4187.692383, 4195.897461, 4199.487305, 4189.743652, 4183.076660, 4202.563965, 4201.025391, 4163.589844, 4203.589844, 0.000000, 8218.000000, 8177.000000, 0.000000, 0.000000, 0.000000, 0.000000, 55.299988, 1553918131.708776, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
38.000000, 0.000000, 4196.922852, 4200.000000, 4194.358887, 4196.922852, 4198.974121, 4174.358887, 4194.358887, 4194.871582, 4177.948730, 4164.615234, 4188.717773, 4178.461426, 4164.615234, 4203.589844, 0.000000, 8218.000000, 8177.000000, 0.000000, 0.000000, 0.000000, 0.000000, 63.000000, 1553918131.716476, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
39.000000, 0.000000, 4206.153809, 4196.922852, 4186.153809, 4186.666504, 4196.410156, 4201.538574, 4189.743652, 4185.127930, 4193.333008, 4198.974121, 4186.153809, 4212.307617, 4176.410156, 4220.000000, 0.000000, 8215.000000, 8187.000000, 0.000000, 0.000000, 0.000000, 0.000000, 71.000000, 1553918131.724476, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
