COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,MARKER_HARDWARE,SYNC,TIME_STAMP_s,TIME_STAMP_ms,TimeStamp,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
46.000000, 0.000000, 4198.974121, 4190.256348, 4208.205078, 4197.436035, 4199.487305, 4188.717773, 4203.589844, 4198.461426, 4193.333008, 4198.461426, 4200.000000, 4169.230469, 4234.358887, 4198.974121, 0.000000, 8224.000000, 8177.000000, 1.000000, 29.000000, 0.000000, 0.000000, 0.000000, 1553917964.371576, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
47.000000, 0.000000, 4192.307617, 4190.256348, 4196.410156, 4188.205078, 4198.461426, 4195.897461, 4200.512695, 4199.487305, 4202.563965, 4198.461426, 4201.538574, 4185.127930, 4218.974121, 4190.256348, 0.000000, 8222.000000, 8183.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.000000, 1553917964.379576, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
48.000000, 0.000000, 4183.589844, 4177.948730, 4196.922852, 4178.461426, 4195.897461, 4193.333008, 4192.307617, 4194.358887, 4196.410156, 4196.922852, 4199.487305, 4173.846191, 4205.127930, 4181.538574, 0.000000, 8222.000000, 8183.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.799988, 1553917964.387376, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
49.000000, 0.000000, 4185.127930, 4174.358887, 4198.974121, 4177.948730, 4196.410156, 4193.333008, 4191.281738, 4191.281738, 4186.666504, 4174.358887, 4184.615234, 4157.436035, 4214.871582, 4183.076660, 0.000000, 8226.000000, 8189.000000, 0.000000, 0.000000, 0.000000, 0.000000, 23.700012, 1553917964.395276, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
50.000000, 0.000000, 4184.102539, 4173.333008, 4189.743652, 4174.871582, 4192.820313, 4203.589844, 4195.384277, 4191.794922, 4196.410156, 4188.717773, 4184.615234, 4178.974121, 4218.461426, 4181.025391, 0.000000, 8226.000000, 8189.000000, 0.000000, 0.000000, 0.000000, 0.000000, 31.500000, 1553917964.403076, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
51.000000, 0.000000, 4172.307617, 4167.692383, 4185.127930, 4169.230469, 4190.769043, 4187.179199, 4201.025391, 4187.692383, 4183.076660, 4174.871582, 4176.410156, 4149.743652, 4207.692383, 4168.205078, 0.000000, 8224.000000, 8177.000000, 0.000000, 0.000000, 0.000000, 0.000000, 39.500000, 1553917964.411076, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
52.000000, 0.000000, 4174.358887, 4165.641113, 4184.615234, 4169.230469, 4193.333008, 4200.000000, 4204.615234, 4188.205078, 4188.205078, 4181.025391, 4175.897461, 4163.589844, 4209.230469, 4176.922852, 0.000000, 8224.000000, 8177.000000, 0.000000, 0.000000, 0.000000, 0.000000, 47.299988, 1553917964.418876, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
53.000000, 0.000000, 4179.487305, 4165.641113, 4185.641113, 4174.358887, 4193.333008, 4196.922852, 4197.436035, 4179.487305, 4184.615234, 4177.436035, 4169.743652, 4158.974121, 4193.333008, 4175.897461, 0.000000, 8216.000000, 8182.000000, 0.000000, 0.000000, 0.000000, 0.000000, 55.299988, 1553917964.426876, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
54.000000, 0.000000, 4185.641113, 4175.897461, 4195.897461, 4186.153809, 4197.948730, 4186.153809, 4197.436035, 4183.076660, 4182.563965, 4167.692383, 4182.563965, 4158.974121, 4201.025391, 4178.461426, 0.000000, 8216.000000, 8182.000000, 0.000000, 0.000000, 0.000000, 0.000000, 63.000000, 1553917964.434576, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
55.000000, 0.000000, 4184.102539, 4179.487305, 4199.487305, 4183.589844, 4196.410156, 4199.487305, 4203.589844, 4194.871582, 4204.615234, 4209.743652, 4205.127930, 4193.846191, 4229.743652, 4189.230469, 0.000000, 8214.000000, 8178.000000, 0.000000, 0.000000, 0.000000, 0.000000, 71.000000, 1553917964.442576, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
56.000000, 0.000000, 4176.922852, 4172.820313, 4190.256348, 4173.846191, 4198.974121, 4187.179199, 4200.512695, 4188.717773, 4191.281738, 4192.307617, 4188.717773, 4158.461426, 4226.666504, 4176.922852, 0.000000, 8214.000000, 8178.000000, 0.000000, 0.000000, 0.000000, 0.000000, 78.799988, 1553917964.450376, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
57.000000, 0.000000, 4176.410156, 4163.589844, 4184.102539, 4172.307617, 4206.153809, 4194.871582, 4196.922852, 4186.666504, 4189.230469, 4180.000000, 4188.205078, 4169.230469, 4212.307617, 4174.871582, 0.000000, 8214.000000, 8172.000000, 0.000000, 0.000000, 0.000000, 0.000000, 86.799988, 1553917964.458376, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
58.000000, 0.000000, 4169.743652, 4150.256348, 4184.102539, 4168.717773, 4193.846191, 4189.230469, 4194.871582, 4187.179199, 4189.230469, 4185.127930, 4183.076660, 4170.769043, 4194.358887, 4171.794922, 0.000000, 8214.000000, 8172.000000, 0.000000, 0.000000, 0.000000, 0.000000, 94.599976, 1553917964.466176, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
