COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,MARKER_HARDWARE,SYNC,TIME_STAMP_s,TIME_STAMP_ms,TimeStamp,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
23.000000, 0.000000, 4199.487305, 4188.205078, 4181.538574, 4188.717773, 4190.256348, 4201.025391, 4195.384277, 4179.487305, 4193.846191, 4192.307617, 4196.922852, 4171.794922, 4197.436035, 4198.974121, 0.000000, 8221.000000, 8178.000000, 1.000000, 37.000000, 0.000000, 0.000000, 0.000000, 1553918221.384076, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
24.000000, 0.000000, 4186.153809, 4173.846191, 4165.127930, 4181.025391, 4187.179199, 4192.307617, 4177.948730, 4178.461426, 4187.179199, 4190.769043, 4191.794922, 4155.897461, 4176.922852, 4187.179199, 0.000000, 8221.000000, 8178.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.700012, 1553918221.391776, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
25.000000, 0.000000, 4190.769043, 4187.179199, 4174.871582, 4188.205078, 4185.641113, 4184.615234, 4184.102539, 4188.205078, 4185.127930, 4174.358887, 4194.871582, 4146.153809, 4189.743652, 4189.230469, 0.000000, 8218.000000, 8165.000000, 0.000000, 0.000000, 0.000000, 0.000000, 15.700012, 1553918221.399776, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
26.000000, 0.000000, 4200.000000, 4193.846191, 4191.281738, 4189.743652, 4180.000000, 4207.179199, 4195.897461, 4195.384277, 4208.205078, 4213.333008, 4206.153809, 4192.820313, 4198.974121, 4198.461426, 0.000000, 8218.000000, 8165.000000, 0.000000, 0.000000, 0.000000, 0.000000, 23.500000, 1553918221.407576, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
27.000000, 0.000000, 4191.794922, 4183.589844, 4185.641113, 4185.127930, 4180.512695, 4176.922852, 4198.461426, 4193.846191, 4193.333008, 4186.153809, 4183.076660, 4151.794922, 4184.615234, 4185.641113, 0.000000, 8214.000000, 8167.000000, 0.000000, 0.000000, 0.000000, 0.000000, 31.500000, 1553918221.415576, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
28.000000, 0.000000, 4192.307617, 4183.589844, 4176.922852, 4188.205078, 4177.948730, 4195.897461, 4191.281738, 4197.948730, 4193.846191, 4185.127930, 4187.179199, 4168.205078, 4211.281738, 4189.743652, 0.000000, 8214.000000, 8167.000000, 0.000000, 0.000000, 0.000000, 0.000000, 39.299988, 1553918221.423376, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
29.000000, 0.000000, 4202.563965, 4199.487305, 4189.230469, 4200.512695, 4175.897461, 4194.358887, 4186.153809, 4195.384277, 4202.051270, 4207.692383, 4204.615234, 4182.563965, 4231.794922, 4200.000000, 0.000000, 8216.000000, 8167.000000, 0.000000, 0.000000, 0.000000, 0.000000, 47.299988, 1553918221.431376, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
30.000000, 0.000000, 4203.076660, 4205.641113, 4194.358887, 4202.563965, 4183.076660, 4178.461426, 4191.794922, 4202.563965, 4201.025391, 4188.717773, 4206.666504, 4169.230469, 4211.794922, 4206.666504, 0.000000, 8216.000000, 8167.000000, 0.000000, 0.000000, 0.000000, 0.000000, 55.000000, 1553918221.439076, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
31.000000, 0.000000, 4195.384277, 4184.615234, 4179.487305, 4188.205078, 4176.410156, 4203.589844, 4186.666504, 4206.666504, 4206.153809, 4206.666504, 4212.820313, 4195.384277, 4188.205078, 4205.641113, 0.000000, 8213.000000, 8169.000000, 0.000000, 0.000000, 0.000000, 0.000000, 63.000000, 1553918221.447076, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
32.000000, 0.000000, 4203.589844, 4182.563965, 4186.153809, 4195.897461, 4181.025391, 4179.487305, 4187.692383, 4195.384277, 4191.794922, 4190.256348, 4204.615234, 4161.538574, 4195.384277, 4194.871582, 0.000000, 8213.000000, 8169.000000, 0.000000, 0.000000, 0.000000, 0.000000, 70.799988, 1553918221.454876, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 0.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000, 4.000000
